Species,phylo,Museum,Number,IM,PES,TAIL,MANUS,State,Loco
Apomys_abrae,Apomys_abrae,FMNH,170911,0.671882335,0.372248165,0.4889706,0.603588907,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,214361,0.673958698,0.334845049,0.5123967,0.574906367,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,170927,0.676133533,0.354659249,0.5131086,0.654340836,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,170929,0.680857979,0.355944056,0.4836364,0.597826087,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,188437,0.680872151,0.396069539,0.498155,0.554367201,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,214362,0.681764607,0.387394312,0.5076336,0.673431734,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,167347,0.682292558,0.320197044,0.483871,0.571669477,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,167355,0.682702327,0.347795661,0.5,0.602473498,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,167342,0.682992284,0.357142857,0.4923077,0.612565445,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,170905,0.683956962,0.349744246,0.5017668,0.586826347,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,193869,0.685961872,0.375459221,0.503876,0.604414261,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,193876,0.688650307,0.367903104,0.4828897,0.529220779,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,170919,0.688726305,0.355140187,0.5054545,0.608482871,1,Terrestrial
Apomys_abrae,Apomys_abrae,FMNH,170907,0.689527787,0.357244318,0.4738806,0.59375,1,Terrestrial
Apomys_banahao,Apomys_banahao,FMNH,179478,0.671340791,0.362794013,0.4681648,0.57704918,1,Terrestrial
Apomys_banahao,Apomys_banahao,FMNH,218515,0.681749875,0.359765051,0.4904215,0.630218688,1,Terrestrial
Apomys_banahao,Apomys_banahao,FMNH,218491,0.687607708,0.358974359,0.4641509,0.566558442,1,Terrestrial
Apomys_banahao,Apomys_banahao,FMNH,179480,0.694738505,0.376912378,0.4676806,0.603146853,1,Terrestrial
