Species,phylo,climb2,climb,MANUS,SMI,BI,HRI,HEB,OLI,URI,CI,FRI,GI,FEB,TRI,TSI,PES,IM,SI,Catalog_number,Total_length,Tail_length,TAIL
Apomys_abrae,Apomys_abrae,0.07,0,0.529220779,0.403825717,1.08607864,0.064293305,0.218916047,0.14775359,0.042149143,1.306603774,0.063679245,0.072327044,0.16745283,0.040613718,0.30354994,0.367903104,0.688650307,0.736588721,193876,263,127,0.4828897
Apomys_abrae,Apomys_abrae,0.07,0,0.554367201,0.378208486,1.109481404,0.080670508,0.230487166,0.139629462,0.035698147,1.27936747,0.074171687,0.070406627,0.160391566,0.047380812,0.278104768,0.396069539,0.680872151,0.733153639,188437,271,135,0.498155
Apomys_abrae,Apomys_abrae,0.07,0,0.571669477,0.420098847,1.138385502,0.07907743,0.247116969,0.149976927,0.037378865,1.359709326,0.07549455,0.079531692,0.172789665,0.041270784,0.298396675,0.320197044,0.682292558,0.646243618,167347,248,120,0.483871
Apomys_abrae,Apomys_abrae,0.07,0,0.574906367,0.407260352,1.11514464,0.066364152,0.242200794,0.140804598,0.039750958,1.310553983,0.066720582,0.06995552,0.167003639,0.035174329,0.2891083,0.334845049,0.673958698,0.701425356,214361,242,124,0.5123967
Apomys_abrae,Apomys_abrae,0.07,0,0.586826347,0.393442623,1.114754098,0.078381148,0.247438525,0.139141743,0.029908973,1.355143722,0.066187595,0.082072617,0.18494705,0.039631594,0.270443762,0.349744246,0.683956962,0.789256198,170905,283,142,0.5017668
Apomys_abrae,Apomys_abrae,0.07,0,0.59375,0.365792129,1.122603431,0.080221998,0.239152371,0.146257032,0.039376893,1.264,0.066545455,0.079636364,0.171272727,0.042002301,0.329113924,0.357244318,0.689527787,0.699004975,170907,268,127,0.4738806
Apomys_abrae,Apomys_abrae,0.07,0,0.597826087,0.399695277,1.076688674,0.073641442,0.230573895,0.146780729,0.036019811,1.298841987,0.064251027,0.073963392,0.170339933,0.041415013,0.319240725,0.355944056,0.680857979,0.752980132,170929,275,133,0.4836364
Apomys_abrae,Apomys_abrae,0.07,0,0.602473498,0.388190268,1.090759978,0.073810826,0.234554401,0.153187441,0.046146527,1.334008918,0.066072152,0.073368464,0.166193758,0.03980553,0.303859009,0.347795661,0.682702327,0.489840348,167355,250,125,0.5
Apomys_abrae,Apomys_abrae,0.07,0,0.603588907,0.410035479,1.119107957,0.076533198,0.235681703,0.149935373,0.030159414,1.302233429,0.063040346,0.071325648,0.165345821,0.043706777,0.282710927,0.372248165,0.671882335,0.679722047,170911,272,133,0.4889706
Apomys_abrae,Apomys_abrae,0.07,0,0.604414261,0.406900329,1.105695509,0.066812705,0.228368018,0.143527205,0.03564728,1.348392348,0.067562068,0.073667074,0.167277167,0.038031995,0.31119831,0.375459221,0.685961872,0.71875,193869,258,130,0.503876
Apomys_abrae,Apomys_abrae,0.07,0,0.608482871,0.40031072,1.092698084,0.071983428,0.233039876,0.152872004,0.037087291,1.32111154,0.070629101,0.070629101,0.170590506,0.038562664,0.293602103,0.355140187,0.688726305,0.675064599,170919,275,139,0.5054545
Apomys_abrae,Apomys_abrae,0.07,0,0.612565445,0.378812199,1.120385233,0.076511503,0.240770465,0.148433954,0.038583749,1.361188119,0.068118812,0.071683168,0.165940594,0.038405586,0.274949084,0.357142857,0.682992284,0.721207865,167342,260,128,0.4923077
Apomys_abrae,Apomys_abrae,0.07,0,0.654340836,0.383583691,1.129828326,0.079399142,0.228004292,0.158586316,0.030357952,1.316660254,0.06733359,0.077722201,0.165063486,0.042080655,0.322033898,0.354659249,0.676133533,0.684641638,170927,267,137,0.5131086
Apomys_abrae,Apomys_abrae,0.07,0,0.673431734,0.416313559,1.078389831,0.067266949,0.234639831,0.142989357,0.043035632,1.329933307,0.067085131,0.070615928,0.163593566,0.040412979,0.287020649,0.387394312,0.681764607,0.684894053,214362,262,133,0.5076336
